регион ;py;ngo;msp;ciss;url
Рязанская область;50;5;1;0;https://mintrudsoc.ryazangov.ru/social_system/law_442/social_registry/
Самарская область;134;21;0;1;http://minsocdem.samregion.ru/sites/default/files/opendata/data-20171108-structure-20160505.xml
Санкт-Петербург;123;23;13;0;https://iss.ktsz.spb.ru/ISS/esrn/index/servproviders.htm?f=121&fid=0&blk=10287510
Саратовская область;98;8;2;0;http://sarcomp.ru
Сахалинская область;40;11;1;0;https://msz.admsakhalin.ru/reestr/reestr.html?PageSize=30&Sort=&PageNumber=2
Свердловская область;181;25;6;0;http://isson.msp.midural.ru/sonsvd/orglist.jsp
Смоленская область;63;6;1;0;https://www.socrazvitie67.ru/catalog/reestr-postavshhikov-soczialnyx-uslug-cmolenskoj-o/3210
Ставропольский край;73;0;0;1;http://www.dubkii.ru/node/963
Тамбовская область;47;12;0;1;http://uprsoc.tmbreg.ru/reestrpsu.htm
Тверская область;88;6;0;0;https://минсоцзащиты.тверскаяобласть.рф/Real-442-fz/reestr-postavshchik-sots-uslug/
Томская область;37;5;1;0;https://dszn.tomsk.gov.ru/reestr-postavschikov-sotsialnyh-uslug
Тульская область;32;3;4;0;https://mintrud.tularegion.ru/reestr-postavshchikov-sotsialnykh-uslug/
Тюменская область;83;33;2;0;http://109.233.229.25/aspnetkp/reestr.html
Удмуртская Республика;0;0;0;0;
Ульяновская область;43;12;1;0;http://www.sobes73.ru/reestr_postavsh_7222.html?searched=реестр&advsearch=exactphrase&highlight=ajaxSearch_highlight+ajaxSearch_highlight1
Хабаровский край;69;19;5;0;https://socuslugi.mszn27.ru/sonhub/orglist.html
Ханты-Мансийский автономный округ - Югра;200;61;94;1;http://socuslugi-ugra.ru/recreg/main.htm?f=201&fid=0&blk=10284949&g=selectOrg
Челябинская область;141;16;2;0;http://rpost.minsoc74.ru/rpost/reestr_last.html?PageSize=30&Sort=&PageNumber=5
Чеченская Республика;0;0;0;0;
Чувашская Республика - Чувашия;46;6;0;0;http://mintrud.cap.ru/action/activity/socialjnoe-obsluzhivanie-naseleniya/reestr-postavschikov
Чукотский автономный округ;0;0;0;0;
Ямало-Ненецкий автономный округ;35;6;4;0;http://old.dszn.yanao.ru/social-population/reestr-postavschikov-socialnyh-uslug
Ярославская область;58;3;1;0;https://opendata.yarcloud.ru/dataset/реестр-поставщиков-социальных-услуг-ярославской-области/resource/bc59b98e-771c-4d75-90b9-4777082eb7be
Москва;221;14;22;0;https://www.mos.ru/dszn/documents/view/208221220/
